Open,High,Low,Close,Volume
187.15,188.44,183.89,185.64,82488674
184.22,185.88,183.43,184.25,58414460
182.15,183.09,180.88,181.91,71983570
181.99,182.76,180.17,181.18,62379661
182.09,185.6,181.5,185.56,59144470
183.92,185.15,182.73,185.14,42841809
184.35,186.4,183.92,186.19,46792908
186.54,187.05,183.62,185.59,49128408
186.06,186.74,185.19,185.92,40477782
182.16,184.26,180.93,183.63,65603041
181.27,182.93,180.3,182.68,47317433
186.09,189.14,185.83,188.63,78005754
189.33,191.95,188.82,191.56,68902985
192.3,195.33,192.26,193.89,60133852
195.02,195.75,193.83,195.18,42355590
195.42,196.38,194.34,194.5,53631316
195.22,196.27,193.11,194.17,54822126
194.27,194.76,191.94,192.42,44594011
192.01,192.2,189.58,191.73,47145622
190.94,191.8,187.47,188.04,55859370
187.04,187.1,184.35,184.4,55467803
183.99,186.95,183.82,186.86,64885408
179.86,187.33,179.25,185.85,102551680
188.15,189.25,185.84,187.68,69668820
186.86,189.31,186.77,189.3,43490759
190.64,191.05,188.61,189.41,53438955
189.39,189.54,187.35,188.32,40962046
188.65,189.99,188,188.85,45155216
188.42,188.67,186.79,187.15,41781934
185.77,186.21,183.51,185.04,56529529
185.32,185.53,182.44,184.15,54630517
183.55,184.49,181.35,183.86,65434496
183.42,184.85,181.67,182.31,49752465
181.79,182.43,180,181.56,53665553
181.94,182.89,180.66,182.32,41529674
183.48,184.96,182.46,184.37,52292208
185.01,185.04,182.23,182.52,45119677
182.24,182.76,180.65,181.16,40867421
181.1,183.92,179.56,182.63,54318851
182.51,183.12,180.13,181.42,48953939
181.27,182.57,179.53,180.75,136682597
179.55,180.53,177.38,179.66,73563082
176.15,176.9,173.79,175.1,81510101
170.76,172.04,169.62,170.12,95132355
171.06,171.24,168.68,169.12,68587707
169.15,170.73,168.49,169,71765061
169,173.7,168.94,170.73,76267041
172.94,174.38,172.05,172.75,60139473
173.15,174.03,171.01,173.23,59825372
172.77,173.19,170.76,171.13,52488692
172.91,174.31,172.05,173,72913507
171.17,172.62,170.29,172.62,121752699
175.57,177.71,173.52,173.72,75604184
174.34,176.61,173.03,176.08,55215244
175.72,178.67,175.09,178.67,53423102
177.05,177.49,170.84,171.37,106181270
171.76,173.05,170.06,172.28,71160138
170.57,171.94,169.45,170.85,54288328
170,171.42,169.58,169.71,57388449
170.41,173.6,170.11,173.31,60273265
171.75,172.23,170.51,171.48,65672690
