Open,High,Low,Close
17387.15,17646.65,17383.3,17625.7
17681.4,17827.6,17593.55,17805.25
17820.1,17944.7,17748.85,17925.25
17768.5,17797.95,17655.55,17745.9
17797.6,17905,17704.55,17812.7
17913.3,18017.45,17879.15,18003.3
17997.75,18081.25,17964.4,18055.75
18170.4,18227.95,18128.8,18212.35
18257,18272.25,18163.8,18257.8
18185,18286.95,18119.65,18255.75
18235.65,18321.55,18228.75,18308.1
18337.2,18350.95,18085.9,18113.05
18129.2,18129.2,17884.9,17938.4
17921,17943.7,17648.45,17757
17613.7,17707.6,17485.85,17617.15
17575.15,17599.4,16997.85,17149.1
17001.55,17309.15,16836.8,17277.95
17001.55,17309.15,16836.8,17277.95
17062,17182.5,16866.75,17110.15
17208.3,17373.5,17077.1,17101.95
17301.05,17410,17264.15,17339.85
